APIRequestCount;apiserver.openshift.io/v1
APIServer;config.openshift.io/v1
APIService;apiregistration.k8s.io/v1
Authentication;config.openshift.io/v1
Build;config.openshift.io/v1
CloudCredential;operator.openshift.io/v1
ClusterNetwork;network.openshift.io/v1
ClusterOperator;config.openshift.io/v1
ClusterRole;authorization.openshift.io/v1
ClusterRoleBinding;authorization.openshift.io/v1
ClusterRoleBinding;rbac.authorization.k8s.io/v1
ClusterRole;rbac.authorization.k8s.io/v1
ClusterVersion;config.openshift.io/v1
Config;imageregistry.operator.openshift.io/v1
ConsoleCLIDownload;console.openshift.io/v1
Console;config.openshift.io/v1
ConsoleNotification;console.openshift.io/v1
ControllerConfig;machineconfiguration.openshift.io/v1
CSINode;storage.k8s.io/v1
CSISnapshotController;operator.openshift.io/v1
CustomResourceDefinition;apiextensions.k8s.io/v1
DNS;config.openshift.io/v1
Etcd;operator.openshift.io/v1
FeatureGate;config.openshift.io/v1
FlowSchema;flowcontrol.apiserver.k8s.io/v1beta2
HelmChartRepository;helm.openshift.io/v1beta1
HostSubnet;network.openshift.io/v1
Identity;user.openshift.io/v1
Image;config.openshift.io/v1
Image;image.openshift.io/v1
ImagePruner;imageregistry.operator.openshift.io/v1
Infrastructure;config.openshift.io/v1
IngressClass;networking.k8s.io/v1
Ingress;config.openshift.io/v1
KubeAPIServer;operator.openshift.io/v1
KubeControllerManager;operator.openshift.io/v1
KubeScheduler;operator.openshift.io/v1
KubeStorageVersionMigrator;operator.openshift.io/v1
MachineConfig;machineconfiguration.openshift.io/v1
MachineConfigPool;machineconfiguration.openshift.io/v1
MutatingWebhookConfiguration;admissionregistration.k8s.io/v1
Namespace;v1
NetNamespace;network.openshift.io/v1
Network;config.openshift.io/v1
Network;operator.openshift.io/v1
Node;v1
OAuthAccessToken;oauth.openshift.io/v1
OAuthClient;oauth.openshift.io/v1
OAuth;config.openshift.io/v1
OLMConfig;operators.coreos.com/v1
OpenShiftAPIServer;operator.openshift.io/v1
OpenShiftControllerManager;operator.openshift.io/v1
OperatorHub;config.openshift.io/v1
Operator;operators.coreos.com/v1
PersistentVolume;v1
PriorityClass;scheduling.k8s.io/v1
PriorityLevelConfiguration;flowcontrol.apiserver.k8s.io/v1beta2
Project;project.openshift.io/v1
Proxy;config.openshift.io/v1
RangeAllocation;security.internal.openshift.io/v1
Scheduler;config.openshift.io/v1
SecurityContextConstraints;security.openshift.io/v1
ServiceCA;operator.openshift.io/v1
StorageClass;storage.k8s.io/v1
Storage;operator.openshift.io/v1
StorageVersionMigration;migration.k8s.io/v1alpha1
User;user.openshift.io/v1
ValidatingWebhookConfiguration;admissionregistration.k8s.io/v1
